Feature,ICC,N_images,Stable_0.75,Stable_0.90
firstorder_Mean,0.9967349803376899,1368,True,True
firstorder_Variance,0.965664958715827,1368,True,True
firstorder_Skewness,0.6816806960685698,1368,False,False
firstorder_Kurtosis,0.5800937844617026,1368,False,False
firstorder_Min,0.8241023811777001,1368,True,False
firstorder_Max,0.9980194265156007,1368,True,True
firstorder_Energy,0.9948771650695185,1368,True,True
shape_Area,0.993312150203717,1368,True,True
shape_Perimeter,0.983909385823045,1368,True,True
shape_Sphericity,0.9483465533017479,1368,True,True
shape_Compactness,0.8643511454008251,1368,True,False
shape_Extent,0.9322418188895697,1368,True,True
shape_BoundingBoxArea,0.9953285739407456,1368,True,True
glcm_Contrast,0.9648412812052297,1368,True,True
glcm_Homogeneity,0.9854349009734402,1368,True,True
glcm_Energy,0.9840887591502812,1368,True,True
glcm_Correlation,0.9154197890972637,1368,True,True
glcm_Entropy,0.986520773098798,1368,True,True
